PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,PT_MEASURE_TYPE,GP_Defense,W_Defense,L_Defense,MIN_Defense,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT,PT_MEASURE_TYPE_Defense,GP_CatchShoot,W_CatchShoot,L_CatchShoot,MIN_CatchShoot,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,PT_MEASURE_TYPE_CatchShoot,GP_Passing,W_Passing,L_Passing,MIN_Passing,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,PT_MEASURE_TYPE_Passing,GP_Possessions,W_Possessions,L_Possessions,MIN_Possessions,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,PT_MEASURE_TYPE_Possessions,GP_PullUpShot,W_PullUpShot,L_PullUpShot,MIN_PullUpShot,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,PT_MEASURE_TYPE_PullUpShot,GP_Rebounding,W_Rebounding,L_Rebounding,MIN_Rebounding,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB_Rebounding,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,PT_MEASURE_TYPE_Rebounding,GP_SpeedDistance,W_SpeedDistance,L_SpeedDistance,MIN_SpeedDistance,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,PT_MEASURE_TYPE_SpeedDistance,GP_ElbowTouch,W_ElbowTouch,L_ElbowTouch,MIN_ElbowTouch,TOUCHES_ElbowTouch,ELBOW_TOUCHES_ElbowTouch,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT,PT_MEASURE_TYPE_ElbowTouch,GP_PostTouch,W_PostTouch,L_PostTouch,MIN_PostTouch,TOUCHES_PostTouch,POST_TOUCHES_PostTouch,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,PT_MEASURE_TYPE_PostTouch,GP_PaintTouch,W_PaintTouch,L_PaintTouch,MIN_PaintTouch,TOUCHES_PaintTouch,PAINT_TOUCHES_PaintTouch,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,PT_MEASURE_TYPE_PaintTouch
2544,LeBron James,1610612747,LAL,60,39,21,1989.0,413,109,210,0.519,55,73,0.753,279,0.676,138,0.334,39,0.094,19,0.046,37,0.09,Drives,60,39,21,1989.0,72,35,321,96,153,0.627,Defense,60,39,21,1989.0,45,138,0.326,130,40.0,122.0,0.328,0.471,CatchShoot,60,39,21,1989.0,2837,3356,432,40,36,707,1085,508,0.152,0.179,Passing,60,39,21,1989.0,1256,4204,2366,230.9,3.3,2.4,0.299,149,177,209,0.705,0.418,0.957,Possessions,60,39,21,1989.0,112,297,0.377,259,35.0,112.0,0.313,0.436,PullUpShot,59.0,39.0,20.0,1958.0,43.0,21.0,22.0,0.488,137.0,0.314,1.0,0.316,8.6,321.0,70.0,251.0,0.218,485.0,0.662,40.0,0.721,6.4,364.0,91.0,273.0,0.25,596.0,0.611,41.0,0.656,6.7,Rebounding,60,39,21,1989.0,670512,127.0,67.7,59.3,3.62,3.85,3.39,SpeedDistance,60,39,21,1989.0,4204,149,39,63,0.619,24,28,0.857,105,0.705,55,0.369,17,0.309,9,0.06,13,0.087,ElbowTouch,60,39,21,1989.0,4204,177,32,68,0.471,9,12,0.75,74,0.418,80,0.452,22,0.124,14,0.079,6,0.034,PostTouch,60,39,21,1989.0,4204,209,85,121,0.702,26,39,0.667,200,0.957,45,0.215,11,0.053,12,0.057,19,0.091,PaintTouch
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,31,6,16,0.375,0,0,0.0,12,0.387,11,0.355,3,0.097,3,0.097,0,0.0,Drives,16,4,12,228.0,11,0,22,14,18,0.778,Defense,16,4,12,228.0,3,11,0.273,9,3.0,11.0,0.273,0.409,CatchShoot,16,4,12,228.0,418,434,53,5,5,109,146,63,0.127,0.151,Passing,16,4,12,228.0,47,510,207,42.1,4.96,4.26,0.092,6,3,4,0.0,0.0,0.0,Possessions,16,4,12,228.0,11,38,0.289,29,7.0,19.0,0.368,0.382,PullUpShot,15.0,4.0,11.0,213.0,6.0,1.0,5.0,0.167,9.0,0.667,1.0,0.75,11.0,22.0,5.0,17.0,0.227,36.0,0.611,1.0,0.629,8.5,28.0,6.0,22.0,0.214,44.0,0.636,2.0,0.667,9.1,Rebounding,16,4,12,228.0,74409,14.1,7.8,6.3,3.93,4.07,3.77,SpeedDistance,16,4,12,228.0,510,6,0,0,0.0,0,0,0.0,0,0.0,6,1.0,1,0.167,0,0.0,0,0.0,ElbowTouch,16,4,12,228.0,510,3,0,1,0.0,0,0,0.0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,PostTouch,16,4,12,228.0,510,4,0,2,0.0,0,0,0.0,0,0.0,2,0.5,1,0.25,0,0.0,0,0.0,PaintTouch
200768,Kyle Lowry,1610612755,PHI,14,9,5,118.0,5,0,0,0.0,0,0,0.0,0,0.0,4,0.8,0,0.0,1,0.2,0,0.0,Drives,14,9,5,118.0,2,2,9,6,8,0.75,Defense,14,9,5,118.0,3,21,0.143,9,3.0,21.0,0.143,0.214,CatchShoot,14,9,5,118.0,141,126,11,0,2,21,29,13,0.078,0.092,Passing,14,9,5,118.0,17,175,98,5.6,1.93,1.13,0.097,1,0,0,0.0,0.0,0.0,Possessions,14,9,5,118.0,1,4,0.25,3,1.0,4.0,0.25,0.375,PullUpShot,6.0,2.0,4.0,74.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.222,18.0,0.5,2.0,0.563,8.5,9.0,2.0,7.0,0.222,20.0,0.45,2.0,0.5,8.5,Rebounding,14,9,5,118.0,41705,7.9,4.3,3.6,3.86,4.18,3.53,SpeedDistance,14,9,5,118.0,175,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,ElbowTouch,14,9,5,118.0,175,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PostTouch,14,9,5,118.0,175,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PaintTouch
201142,Kevin Durant,1610612745,HOU,78,48,30,2840.0,679,241,420,0.574,76,94,0.809,575,0.847,141,0.208,38,0.056,51,0.075,47,0.069,Drives,78,48,30,2840.0,62,71,385,170,265,0.642,Defense,78,48,30,2840.0,159,355,0.448,438,120.0,289.0,0.415,0.617,CatchShoot,78,48,30,2840.0,3033,4071,372,61,80,688,949,512,0.123,0.169,Passing,78,48,30,2840.0,2026,5017,3425,313.2,3.75,2.55,0.404,139,109,64,0.899,0.835,1.406,Possessions,78,48,30,2840.0,370,739,0.501,801,61.0,152.0,0.401,0.542,PullUpShot,77.0,48.0,29.0,2798.0,41.0,8.0,31.0,0.195,102.0,0.402,5.0,0.423,16.8,379.0,113.0,266.0,0.298,555.0,0.683,42.0,0.739,7.1,420.0,121.0,297.0,0.288,639.0,0.657,47.0,0.709,8.0,Rebounding,78,48,30,2840.0,959340,181.7,101.1,80.6,3.69,3.9,3.45,SpeedDistance,78,48,30,2840.0,5017,139,55,81,0.679,10,10,1.0,125,0.899,42,0.302,10,0.238,8,0.058,5,0.036,ElbowTouch,78,48,30,2840.0,5017,109,39,67,0.582,9,10,0.9,91,0.835,27,0.248,4,0.037,8,0.073,6,0.055,PostTouch,78,48,30,2840.0,5017,64,38,46,0.826,13,14,0.929,90,1.406,6,0.094,0,0.0,4,0.063,5,0.078,PaintTouch
201143,Al Horford,1610612744,GSW,45,22,23,969.0,44,11,22,0.5,4,4,1.0,26,0.591,17,0.386,3,0.068,3,0.068,2,0.045,Drives,45,22,23,969.0,30,51,175,95,161,0.59,Defense,45,22,23,969.0,75,201,0.373,219,69.0,192.0,0.359,0.545,CatchShoot,45,22,23,969.0,1551,1350,116,6,29,227,303,150,0.075,0.097,Passing,45,22,23,969.0,372,1947,1230,49.2,1.52,0.47,0.191,61,103,119,0.492,0.311,0.588,Possessions,45,22,23,969.0,6,14,0.429,13,1.0,4.0,0.25,0.464,PullUpShot,42.0,21.0,21.0,899.0,42.0,22.0,20.0,0.524,81.0,0.519,3.0,0.538,8.9,171.0,67.0,104.0,0.392,254.0,0.673,16.0,0.718,5.0,213.0,89.0,124.0,0.418,330.0,0.645,19.0,0.685,5.8,Rebounding,45,22,23,969.0,362584,68.7,37.2,31.5,4.07,4.28,3.85,SpeedDistance,45,22,23,969.0,1947,61,14,17,0.824,1,2,0.5,30,0.492,40,0.656,12,0.3,3,0.049,1,0.016,ElbowTouch,45,22,23,969.0,1947,103,14,28,0.5,4,4,1.0,32,0.311,63,0.612,17,0.165,5,0.049,2,0.019,PostTouch,45,22,23,969.0,1947,119,30,52,0.577,9,10,0.9,70,0.588,52,0.437,14,0.118,8,0.067,5,0.042,PaintTouch
201144,Mike Conley,1610612750,MIN,54,33,21,991.0,140,9,31,0.29,12,16,0.75,30,0.214,90,0.643,27,0.193,10,0.071,8,0.057,Drives,54,33,21,991.0,35,14,75,66,94,0.702,Defense,54,33,21,991.0,42,110,0.382,126,42.0,108.0,0.389,0.573,CatchShoot,54,33,21,991.0,1729,1697,157,17,19,259,410,193,0.091,0.112,Passing,54,33,21,991.0,245,2036,965,124.7,3.67,3.25,0.12,6,1,13,0.0,0.0,0.0,Possessions,54,33,21,991.0,23,80,0.288,60,14.0,58.0,0.241,0.375,PullUpShot,47.0,29.0,18.0,900.0,18.0,5.0,13.0,0.278,38.0,0.474,1.0,0.486,14.9,75.0,14.0,61.0,0.187,141.0,0.532,11.0,0.577,9.5,93.0,19.0,74.0,0.204,175.0,0.531,12.0,0.571,10.6,Rebounding,54,33,21,991.0,400324,75.8,41.0,34.8,4.49,4.82,4.16,SpeedDistance,54,33,21,991.0,2036,6,0,0,0.0,0,0,0.0,0,0.0,5,0.833,1,0.2,1,0.167,0,0.0,ElbowTouch,54,33,21,991.0,2036,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,PostTouch,54,33,21,991.0,2036,13,0,2,0.0,0,0,0.0,0,0.0,9,0.692,3,0.231,2,0.154,0,0.0,PaintTouch
201145,Jeff Green,1610612745,HOU,30,22,8,175.0,4,3,4,0.75,0,0,0.0,6,1.5,0,0.0,0,0.0,0,0.0,0,0.0,Drives,30,22,8,175.0,2,2,18,12,17,0.706,Defense,30,22,8,175.0,11,40,0.275,32,10.0,39.0,0.256,0.4,CatchShoot,30,22,8,175.0,113,139,8,1,1,14,20,10,0.071,0.088,Passing,30,22,8,175.0,67,194,130,6.3,1.95,0.62,0.345,5,11,12,0.4,0.545,0.667,Possessions,30,22,8,175.0,4,12,0.333,9,1.0,4.0,0.25,0.375,PullUpShot,14.0,9.0,5.0,104.0,7.0,4.0,3.0,0.571,9.0,0.778,0.0,0.778,6.1,18.0,5.0,13.0,0.278,29.0,0.621,1.0,0.643,8.3,25.0,9.0,16.0,0.36,37.0,0.676,1.0,0.694,7.7,Rebounding,30,22,8,175.0,59659,11.3,6.0,5.3,3.64,3.65,3.63,SpeedDistance,30,22,8,175.0,194,5,1,2,0.5,0,0,0.0,2,0.4,2,0.4,0,0.0,1,0.2,0,0.0,ElbowTouch,30,22,8,175.0,194,11,3,6,0.5,0,0,0.0,6,0.545,5,0.455,2,0.182,0,0.0,0,0.0,PostTouch,30,22,8,175.0,194,12,4,6,0.667,0,0,0.0,8,0.667,5,0.417,1,0.083,0,0.0,0,0.0,PaintTouch
201566,Russell Westbrook,1610612758,SAC,64,16,48,1853.0,741,120,237,0.506,55,88,0.625,298,0.402,374,0.505,119,0.161,70,0.094,44,0.059,Drives,64,16,48,1853.0,83,12,268,91,121,0.752,Defense,64,16,48,1853.0,96,286,0.336,288,96.0,284.0,0.338,0.503,CatchShoot,64,16,48,1853.0,3156,3254,426,47,25,742,1025,497,0.135,0.157,Passing,64,16,48,1853.0,971,4416,1710,342.9,4.66,4.28,0.22,18,39,100,0.944,0.615,0.61,Possessions,64,16,48,1853.0,90,245,0.367,206,26.0,84.0,0.31,0.42,PullUpShot,61.0,16.0,45.0,1794.0,80.0,41.0,38.0,0.513,176.0,0.455,3.0,0.462,8.3,268.0,53.0,214.0,0.198,392.0,0.684,25.0,0.73,6.7,348.0,94.0,252.0,0.27,540.0,0.644,28.0,0.68,7.0,Rebounding,64,16,48,1853.0,654633,124.0,67.3,56.7,3.94,4.23,3.65,SpeedDistance,64,16,48,1853.0,4416,18,7,8,0.875,0,0,0.0,17,0.944,8,0.444,2,0.25,1,0.056,0,0.0,ElbowTouch,64,16,48,1853.0,4416,39,8,13,0.615,7,8,0.875,24,0.615,17,0.436,5,0.128,0,0.0,4,0.103,PostTouch,64,16,48,1853.0,4416,100,26,44,0.591,5,12,0.417,61,0.61,36,0.36,9,0.09,9,0.09,6,0.06,PaintTouch
201567,Kevin Love,1610612762,UTA,37,10,27,613.0,19,3,7,0.429,3,4,0.75,9,0.474,7,0.368,1,0.053,3,0.158,2,0.105,Drives,37,10,27,613.0,14,9,160,82,116,0.707,Defense,37,10,27,613.0,52,130,0.4,152,48.0,123.0,0.39,0.585,CatchShoot,37,10,27,613.0,857,597,67,6,4,89,170,77,0.078,0.09,Passing,37,10,27,613.0,248,1129,604,31.7,1.68,0.44,0.22,12,3,59,0.25,0.333,0.661,Possessions,37,10,27,613.0,7,21,0.333,19,5.0,18.0,0.278,0.452,PullUpShot,37.0,10.0,27.0,613.0,55.0,39.0,16.0,0.709,119.0,0.462,7.0,0.491,6.5,160.0,61.0,99.0,0.381,273.0,0.586,33.0,0.667,4.3,215.0,100.0,115.0,0.465,383.0,0.561,40.0,0.627,4.9,Rebounding,37,10,27,613.0,224599,42.5,23.3,19.2,4.05,4.29,3.79,SpeedDistance,37,10,27,613.0,1129,12,1,4,0.25,1,2,0.5,3,0.25,7,0.583,1,0.143,0,0.0,1,0.083,ElbowTouch,37,10,27,613.0,1129,3,0,0,0.0,1,2,0.5,1,0.333,2,0.667,1,0.333,0,0.0,1,0.333,PostTouch,37,10,27,613.0,1129,59,14,36,0.389,10,12,0.833,39,0.661,13,0.22,2,0.034,3,0.051,5,0.085,PaintTouch
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,10,4,7,0.571,1,2,0.5,9,0.9,1,0.1,0,0.0,1,0.1,1,0.1,Drives,6,3,3,74.0,4,1,1,4,4,1.0,Defense,6,3,3,74.0,7,12,0.583,21,7.0,12.0,0.583,0.875,CatchShoot,6,3,3,74.0,74,81,3,0,0,5,6,3,0.041,0.041,Passing,6,3,3,74.0,33,103,70,3.2,1.87,0.92,0.32,0,0,1,0.0,0.0,0.0,Possessions,6,3,3,74.0,0,1,0.0,0,0.0,1.0,0.0,0.0,PullUpShot,1.0,0.0,1.0,22.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,11.1,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,8.7,Rebounding,6,3,3,74.0,24642,4.7,2.5,2.1,3.85,3.99,3.54,SpeedDistance,6,3,3,74.0,103,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ElbowTouch,6,3,3,74.0,103,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PostTouch,6,3,3,74.0,103,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,PaintTouch
